mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_feature_selection,param_pca,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,scorer
0.6379216313362122,0.0695124309677134,0.03756260871887207,0.010750122785689618,VarianceThreshold(threshold=0.2),PCA(n_components=8),StandardScaler(),"{'feature_selection': VarianceThreshold(threshold=0.2), 'pca': PCA(n_components=8), 'scaler': StandardScaler()}",0.8680659670164917,0.881559220389805,0.8793103448275862,0.8799699924981246,0.8772263811830019,0.005351564977051776,7,accuracy
0.6062051057815552,0.06972377469387743,0.04615825414657593,0.013465474177164434,VarianceThreshold(threshold=0.2),PCA(n_components=8),MinMaxScaler(),"{'feature_selection': VarianceThreshold(threshold=0.2), 'pca': PCA(n_components=8), 'scaler': MinMaxScaler()}",0.8470764617691154,0.8718140929535232,0.8725637181409296,0.8649662415603901,0.8641051286059895,0.010267580995463762,27,accuracy
0.6050434112548828,0.05315737968448885,0.05256897211074829,0.011254592486941734,VarianceThreshold(threshold=0.2),PCA(n_components=16),StandardScaler(),"{'feature_selection': VarianceThreshold(threshold=0.2), 'pca': PCA(n_components=16), 'scaler': StandardScaler()}",0.8680659670164917,0.881559220389805,0.8793103448275862,0.8799699924981246,0.8772263811830019,0.005351564977051776,7,accuracy
0.6764866709709167,0.04926873621767194,0.0496789813041687,0.017925752238398873,VarianceThreshold(threshold=0.2),PCA(n_components=16),MinMaxScaler(),"{'feature_selection': VarianceThreshold(threshold=0.2), 'pca': PCA(n_components=16), 'scaler': MinMaxScaler()}",0.8470764617691154,0.8718140929535232,0.8725637181409296,0.8649662415603901,0.8641051286059895,0.010267580995463762,27,accuracy
0.554168701171875,0.05545803373413193,0.04838073253631592,0.010650635291995697,VarianceThreshold(threshold=0.2),PCA(n_components=32),StandardScaler(),"{'feature_selection': VarianceThreshold(threshold=0.2), 'pca': PCA(n_components=32), 'scaler': StandardScaler()}",0.8680659670164917,0.881559220389805,0.8793103448275862,0.8799699924981246,0.8772263811830019,0.005351564977051776,7,accuracy
0.6040360331535339,0.04166893928579966,0.04200834035873413,0.007315668877730861,VarianceThreshold(threshold=0.2),PCA(n_components=32),MinMaxScaler(),"{'feature_selection': VarianceThreshold(threshold=0.2), 'pca': PCA(n_components=32), 'scaler': MinMaxScaler()}",0.8470764617691154,0.8718140929535232,0.8725637181409296,0.8649662415603901,0.8641051286059895,0.010267580995463762,27,accuracy
0.7187943458557129,0.036933269159740885,0.048385798931121826,0.0143964213312146,VarianceThreshold(threshold=0.2),PCA(n_components=64),StandardScaler(),"{'feature_selection': VarianceThreshold(threshold=0.2), 'pca': PCA(n_components=64), 'scaler': StandardScaler()}",0.8680659670164917,0.881559220389805,0.8793103448275862,0.8799699924981246,0.8772263811830019,0.005351564977051776,7,accuracy
0.683890700340271,0.049843485767096574,0.03774803876876831,0.0025905671977160065,VarianceThreshold(threshold=0.2),PCA(n_components=64),MinMaxScaler(),"{'feature_selection': VarianceThreshold(threshold=0.2), 'pca': PCA(n_components=64), 'scaler': MinMaxScaler()}",0.8470764617691154,0.8718140929535232,0.8725637181409296,0.8649662415603901,0.8641051286059895,0.010267580995463762,27,accuracy
0.6989436149597168,0.027659529432526895,0.03924769163131714,0.003765911409508117,VarianceThreshold(threshold=0.2),PCA(n_components=64),StandardScaler(),"{'feature_selection': VarianceThreshold(threshold=0.2), 'pca': PCA(n_components=64), 'scaler': StandardScaler()}",0.8680659670164917,0.881559220389805,0.8793103448275862,0.8799699924981246,0.8772263811830019,0.005351564977051776,7,accuracy
0.7005817890167236,0.01868573749611264,0.04800307750701904,0.012039395491781119,VarianceThreshold(threshold=0.2),PCA(n_components=64),MinMaxScaler(),"{'feature_selection': VarianceThreshold(threshold=0.2), 'pca': PCA(n_components=64), 'scaler': MinMaxScaler()}",0.8470764617691154,0.8718140929535232,0.8725637181409296,0.8649662415603901,0.8641051286059895,0.010267580995463762,27,accuracy
1.0701078176498413,0.04559546329673367,0.04799652099609375,0.00381051054696274,VarianceThreshold(threshold=0.2),PCA(n_components=128),StandardScaler(),"{'feature_selection': VarianceThreshold(threshold=0.2), 'pca': PCA(n_components=128), 'scaler': StandardScaler()}",0.8680659670164917,0.881559220389805,0.8793103448275862,0.8799699924981246,0.8772263811830019,0.005351564977051776,7,accuracy
1.0408581495285034,0.06491543407983344,0.04499465227127075,0.004849815199448826,VarianceThreshold(threshold=0.2),PCA(n_components=128),MinMaxScaler(),"{'feature_selection': VarianceThreshold(threshold=0.2), 'pca': PCA(n_components=128), 'scaler': MinMaxScaler()}",0.8470764617691154,0.8718140929535232,0.8725637181409296,0.8649662415603901,0.8641051286059895,0.010267580995463762,27,accuracy
0.3602535128593445,0.020706598397204297,0.12799358367919922,0.010440910047563173,VarianceThreshold(threshold=0.2),,StandardScaler(),"{'feature_selection': VarianceThreshold(threshold=0.2), 'pca': None, 'scaler': StandardScaler()}",0.8523238380809596,0.8575712143928036,0.8740629685157422,0.8589647411852963,0.8607306905437004,0.008085877672501223,39,accuracy
0.6745182871818542,0.05243954492872227,0.03013056516647339,0.0070165866805631475,VarianceThreshold(threshold=0.4),PCA(n_components=8),StandardScaler(),"{'feature_selection': VarianceThreshold(threshold=0.4), 'pca': PCA(n_components=8), 'scaler': StandardScaler()}",0.8665667166416792,0.8845577211394303,0.8793103448275862,0.8799699924981246,0.8776011937767051,0.006683662231312285,1,accuracy
